precip,temp,wind,state,coast,start,end
147.8746702,4.281761214,4.674544855,9,Atlantic,01/01/1997,28/02/1997
229.3204485,10.34426781,4.564228232,9,Atlantic,01/03/1997,30/04/1997
136.1952507,21.61582454,3.819544855,9,Atlantic,01/05/1997,30/06/1997
207.2806069,27.20729551,3.120870712,9,Atlantic,01/07/1997,31/08/1997
89.86042216,19.72288259,3.318773087,9,Atlantic,01/09/1997,31/10/1997
250.4336412,7.145897098,4.048436675,9,Atlantic,01/11/1997,31/12/1997
236.0775726,5.941055409,4.253726913,9,Atlantic,01/01/1998,28/02/1998
269.2373351,12.30322559,4.017882586,9,Atlantic,01/03/1998,30/04/1998
342.0408971,22.47651055,3.640751979,9,Atlantic,01/05/1998,30/06/1998
130.5597625,27.85082454,2.854261214,9,Atlantic,01/07/1998,31/08/1998
164.617942,20.74156332,3.439624011,9,Atlantic,01/09/1998,31/10/1998
89.71147757,9.760408971,3.523344327,9,Atlantic,01/11/1998,31/12/1998
272.6526385,4.173944591,4.233594987,9,Atlantic,01/01/1999,28/02/1999
171.0605541,11.48932718,4.623463061,9,Atlantic,01/03/1999,30/04/1999
129.5416887,23.66366095,3.366193931,9,Atlantic,01/05/1999,30/06/1999
146.8251979,28.60951187,3.206174142,9,Atlantic,01/07/1999,31/08/1999
321.0984169,20.40043536,3.398027704,9,Atlantic,01/09/1999,31/10/1999
144.503562,10.09703826,4.073080475,9,Atlantic,01/11/1999,31/12/1999
156.1129288,3.364656992,4.551226913,9,Atlantic,01/01/2000,29/02/2000
243.0543536,12.19006596,4.417955145,9,Atlantic,01/03/2000,30/04/2000
262.8741425,22.50149736,3.61098285,9,Atlantic,01/05/2000,30/06/2000
245.1530343,25.48812665,2.986259894,9,Atlantic,01/07/2000,31/08/2000
146.7802111,20.02859499,3.236985488,9,Atlantic,01/09/2000,31/10/2000
206.9189974,5.993872032,3.974802111,9,Atlantic,01/11/2000,31/12/2000
130.5540897,2.948265172,3.924835092,9,Atlantic,01/01/2001,28/02/2001
243.6737467,10.08145119,3.950844327,9,Atlantic,01/03/2001,30/04/2001
237.9622691,23.43154354,3.258397098,9,Atlantic,01/05/2001,30/06/2001
161.1424802,27.48827177,3.030026385,9,Atlantic,01/07/2001,31/08/2001
137.6463061,20.99895119,3.490349604,9,Atlantic,01/09/2001,31/10/2001
97.35079156,11.34217678,3.609056728,9,Atlantic,01/11/2001,31/12/2001
92.04920844,6.509716359,4.077453826,9,Atlantic,01/01/2002,28/02/2002
213.5676781,12.40604222,4.223990765,9,Atlantic,01/03/2002,30/04/2002
253.3684697,22.00887203,3.745712401,9,Atlantic,01/05/2002,30/06/2002
125.0331135,29.21765831,3.168601583,9,Atlantic,01/07/2002,31/08/2002
249.5559367,20.36715699,3.56128628,9,Atlantic,01/09/2002,31/10/2002
276.5201847,7.005811346,4.302460422,9,Atlantic,01/11/2002,31/12/2002
189.8007916,-0.2873219,4.422236148,9,Atlantic,01/01/2003,28/02/2003
210.1745383,10.57377309,4.06901715,9,Atlantic,01/03/2003,30/04/2003
281.8147757,20.51407652,3.014722955,9,Atlantic,01/05/2003,30/06/2003
215.8808707,27.96828496,3.049465699,9,Atlantic,01/07/2003,31/08/2003
274.5850923,19.82187335,3.544346966,9,Atlantic,01/09/2003,31/10/2003
231.7455145,9.386827177,4.32548153,9,Atlantic,01/11/2003,31/12/2003
108.6261214,0.9076781,4.430138522,9,Atlantic,01/01/2004,29/02/2004
228.5670185,11.68364776,4.216899736,9,Atlantic,01/03/2004,30/04/2004
144.0684697,23.02577836,3.300989446,9,Atlantic,01/05/2004,30/06/2004
271.4905013,26.37621372,3.021682058,9,Atlantic,01/07/2004,31/08/2004
275.8077836,20.0678496,3.212183377,9,Atlantic,01/09/2004,31/10/2004
214.8572559,8.720817942,3.945501319,9,Atlantic,01/11/2004,31/12/2004
187.0143799,2.418647757,3.98176781,9,Atlantic,01/01/2005,28/02/2005
241.5813984,10.88335752,4.065204485,9,Atlantic,01/03/2005,30/04/2005
