"precip","temp","wind","state","start","end","coast"
319.869069069069,16.6797147147147,3.47018018018018,1,1997-01-01,1997-02-28,"Gulf of Mexico"
271.461711711712,23.228048048048,3.46710960960961,1,1997-03-01,1997-04-30,"Gulf of Mexico"
393.254804804805,28.170045045045,2.72711711711712,1,1997-05-01,1997-06-30,"Gulf of Mexico"
325.550900900901,32.0947822822823,2.07972222222222,1,1997-07-01,1997-08-31,"Gulf of Mexico"
162.394594594595,28.5652552552553,2.58942192192192,1,1997-09-01,1997-10-31,"Gulf of Mexico"
336.273273273273,16.5098273273273,2.88144144144144,1,1997-11-01,1997-12-31,"Gulf of Mexico"
444.512912912913,17.0542342342342,3.49065315315315,1,1998-01-01,1998-02-28,"Gulf of Mexico"
329.775825825826,21.508536036036,3.62494744744745,1,1998-03-01,1998-04-30,"Gulf of Mexico"
94.6975975975976,31.8337162162162,2.95362612612613,1,1998-05-01,1998-06-30,"Gulf of Mexico"
275.811861861862,33.2346096096096,2.13554054054054,1,1998-07-01,1998-08-31,"Gulf of Mexico"
363.809009009009,29.1060960960961,3.249496996997,1,1998-09-01,1998-10-31,"Gulf of Mexico"
202.590690690691,20.7757132132132,2.4387012012012,1,1998-11-01,1998-12-31,"Gulf of Mexico"
188.794894894895,19.2735510510511,3.01006756756757,1,1999-01-01,1999-02-28,"Gulf of Mexico"
188.08033033033,23.5573048048048,3.23263513513514,1,1999-03-01,1999-04-30,"Gulf of Mexico"
297.593843843844,29.8262162162162,2.49810810810811,1,1999-05-01,1999-06-30,"Gulf of Mexico"
314.308558558559,33.3146321321321,2.02514264264264,1,1999-07-01,1999-08-31,"Gulf of Mexico"
202.781081081081,28.494954954955,2.82577327327327,1,1999-09-01,1999-10-31,"Gulf of Mexico"
154.385285285285,19.9340840840841,2.65783783783784,1,1999-11-01,1999-12-31,"Gulf of Mexico"
112.377777777778,18.818521021021,3.19350600600601,1,2000-01-01,2000-02-29,"Gulf of Mexico"
176.858558558559,23.6808708708709,3.09223723723724,1,2000-03-01,2000-04-30,"Gulf of Mexico"
150.154504504505,31.0985510510511,2.77397897897898,1,2000-05-01,2000-06-30,"Gulf of Mexico"
177.745795795796,34.5780930930931,2.02476726726727,1,2000-07-01,2000-08-31,"Gulf of Mexico"
184.852552552553,28.5128528528529,2.6293018018018,1,2000-09-01,2000-10-31,"Gulf of Mexico"
320.794894894895,15.9432657657658,3.00972222222222,1,2000-11-01,2000-12-31,"Gulf of Mexico"
173.233933933934,16.896951951952,2.90902402402402,1,2001-01-01,2001-02-28,"Gulf of Mexico"
316.195645645646,21.8793918918919,3.25286036036036,1,2001-03-01,2001-04-30,"Gulf of Mexico"
254.846246246246,29.5208183183183,2.66385885885886,1,2001-05-01,2001-06-30,"Gulf of Mexico"
419.922822822823,31.6065465465465,2.3193018018018,1,2001-07-01,2001-08-31,"Gulf of Mexico"
220.792192192192,26.9176426426426,2.85891891891892,1,2001-09-01,2001-10-31,"Gulf of Mexico"
134.514264264264,21.5577552552553,2.59015765765766,1,2001-11-01,2001-12-31,"Gulf of Mexico"
182.837237237237,16.7679054054054,3.05099099099099,1,2002-01-01,2002-02-28,"Gulf of Mexico"
196.450600600601,23.821981981982,3.10143393393393,1,2002-03-01,2002-04-30,"Gulf of Mexico"
193.457507507508,29.9736111111111,2.82626126126126,1,2002-05-01,2002-06-30,"Gulf of Mexico"
378.412912912913,32.1768918918919,2.09345345345345,1,2002-07-01,2002-08-31,"Gulf of Mexico"
530.052852852853,28.4141066066066,2.89436186186186,1,2002-09-01,2002-10-31,"Gulf of Mexico"
305.007807807808,17.5776651651652,2.95886636636637,1,2002-11-01,2002-12-31,"Gulf of Mexico"
217.847147147147,15.3286486486486,3.10320570570571,1,2003-01-01,2003-02-28,"Gulf of Mexico"
238.402102102102,22.9345495495496,2.67435435435435,1,2003-03-01,2003-04-30,"Gulf of Mexico"
417.194744744745,29.4195195195195,2.798003003003,1,2003-05-01,2003-06-30,"Gulf of Mexico"
520.293843843844,31.6336411411411,2.25275525525526,1,2003-07-01,2003-08-31,"Gulf of Mexico"
157.898198198198,27.8858783783784,2.42560810810811,1,2003-09-01,2003-10-31,"Gulf of Mexico"
188.618318318318,19.7056456456456,2.99925675675676,1,2003-11-01,2003-12-31,"Gulf of Mexico"
325.175975975976,15.3256681681682,3.20827327327327,1,2004-01-01,2004-02-29,"Gulf of Mexico"
94.9993993993994,24.1621246246246,2.92529279279279,1,2004-03-01,2004-04-30,"Gulf of Mexico"
363.921771771772,29.9307957957958,2.51385135135135,1,2004-05-01,2004-06-30,"Gulf of Mexico"
337.937837837838,31.8578003003003,1.99439189189189,1,2004-07-01,2004-08-31,"Gulf of Mexico"
282.545645645646,29.0781681681682,3.18871621621622,1,2004-09-01,2004-10-31,"Gulf of Mexico"
342.924924924925,19.0921246246246,3.2388963963964,1,2004-11-01,2004-12-31,"Gulf of Mexico"
196.03993993994,18.0512012012012,3.14915165165165,1,2005-01-01,2005-02-28,"Gulf of Mexico"
406.617567567568,21.9068693693694,3.26147897897898,1,2005-03-01,2005-04-30,"Gulf of Mexico"
271.89039039039,29.4638363363363,2.38391141141141,1,2005-05-01,2005-06-30,"Gulf of Mexico"
539.67987987988,32.4293693693694,2.34985735735736,1,2005-07-01,2005-08-31,"Gulf of Mexico"
126.351951951952,29.4596546546547,2.96835585585586,1,2005-09-01,2005-10-31,"Gulf of Mexico"
197.128078078078,19.4342642642643,3.10623873873874,1,2005-11-01,2005-12-31,"Gulf of Mexico"
201.139039039039,18.2448348348348,3.35842342342342,1,2006-01-01,2006-02-28,"Gulf of Mexico"
111.653153153153,24.7406081081081,3.2665990990991,1,2006-03-01,2006-04-30,"Gulf of Mexico"
136.603303303303,30.9722822822823,2.29346846846847,1,2006-05-01,2006-06-30,"Gulf of Mexico"
311.92042042042,33.3094444444444,1.85320570570571,1,2006-07-01,2006-08-31,"Gulf of Mexico"
235.312612612613,28.1633558558559,2.48662162162162,1,2006-09-01,2006-10-31,"Gulf of Mexico"
264.351051051051,19.5413513513514,3.1074024024024,1,2006-11-01,2006-12-31,"Gulf of Mexico"
180.081381381381,16.4890840840841,3.01573573573574,1,2007-01-01,2007-02-28,"Gulf of Mexico"
166.099399399399,23.846021021021,3.00977477477477,1,2007-03-01,2007-04-30,"Gulf of Mexico"
165.906006006006,31.0241966966967,2.61214714714715,1,2007-05-01,2007-06-30,"Gulf of Mexico"
320.272822822823,33.100533033033,2.06682432432432,1,2007-07-01,2007-08-31,"Gulf of Mexico"
315.982732732733,28.9584309309309,3.15282282282282,1,2007-09-01,2007-10-31,"Gulf of Mexico"
256.457057057057,20.5403453453453,2.59898648648649,1,2007-11-01,2007-12-31,"Gulf of Mexico"
279.101651651652,17.0498573573574,3.25135135135135,1,2008-01-01,2008-02-29,"Gulf of Mexico"
