State,household_size_mean
Alabama,2.48
Alaska,2.65
Arizona,2.63
Arkansas,2.47
California,2.9
Colorado,2.49
Connecticut,2.52
Delaware,2.55
District of Columbia,2.11
Florida,2.48
Georgia,2.63
Hawaii,2.89
Idaho,2.66
Illinois,2.59
Indiana,2.52
Iowa,2.41
Kansas,2.49
Kentucky,2.45
Louisiana,2.55
Maine,2.32
Maryland,2.61
Massachusetts,2.48
Michigan,2.49
Minnesota,2.48
Mississippi,2.58
Missouri,2.45
Montana,2.35
Nebraska,2.46
Nevada,2.65
New Hampshire,2.46
New Jersey,2.68
New Mexico,2.55
New York,2.57
North Carolina,2.48
North Dakota,2.3
Ohio,2.44
Oklahoma,2.49
Oregon,2.47
Pennsylvania,2.45
Rhode Island,2.44
South Carolina,2.49
South Dakota,2.42
Tennessee,2.48
Texas,2.75
Utah,3.1
Vermont,2.34
Virginia,2.54
Washington,2.51
West Virginia,2.36
Wisconsin,2.43
Wyoming,2.42
